doc_id,topic,keywords
354,0,인터넷 신청 처리 도대체
355,1,다른 데이터 비교 보고 요금제
356,0,고장 방문 언제 터치 태블릿
357,0,문의 화면 고장 방문 바로 다른
358,3,요금 자동 이체 신한은행
359,0,휴대폰 화면 번호 수리 어디
360,4,요금 할인 납부 미납 내야 얼마
361,2,인터넷
362,4,요금 조회
363,3,휴대폰 정지 / 분실 / 파손
364,0,처리 휴대폰 고장 직영 가기
365,4,청구 요금 데이터 용량
366,1,인터넷 가입 상품 가장
367,4,요금 고지서
368,4,부가 서비스 문의 보안
369,2,인터넷 연결
370,1,가입 상품 인터넷 가장
371,1,가입 요금 데이터 제로 무제한 요금제
372,4,요금 얼마
373,3,기기 휴대폰 변경
374,2,주소 채널 오늘 아침
375,0,스피커 신청 작동 휴대폰 고장
376,1,요금제
377,1,무제한 변경 데이터 요금제
378,0,접수 신청 고장 핸드폰 언제
379,2,해지 회사 인터넷 다른
380,1,데이터 요금제
381,2,해지 이사 인터넷
382,0,고장 방문 전원 언제 노트북
383,2,해지 통신사 주소 다른 인터넷 동의
384,0,신청 화면 휴대폰 고장
385,2,해지 다른 얼마
386,2,인터넷 설치 오늘 일정
387,1,변경 요금제 지금
388,3,휴대폰 분실 신고
389,0,휴대폰 고장 방문 시간 조정 오후
390,4,부가 서비스 해지 스트리밍 음악
391,4,요금 조회 데이터 초과 얼마나 뭔가
392,4,가입 요금 휴대폰 제로 무제한 요금제
393,3,휴대폰 분실 진행
394,1,요금 변경 다른 데이터 사용 추가 걱정 지금 요금제
395,4,요금
396,4,요금 납부 조회 청구
397,4,부가 서비스 문의 신청 가격 데이터 보충
398,3,요금 납부 이체 카드 변경 다른 계좌 방법
399,0,신청 핸드폰
400,0,멤버십 적립 포인트 번호 확인
401,1,무제한 변경 데이터 요금제
402,0,인터넷 속도 방문 수리 가끔
403,1,변경 데이터 확인 요금제
404,4,요금 변경 와이파이 조회 데이터 이번 초과 방법
405,1,변경 데이터 요금제
406,4,부가 서비스 문의 클라우드
407,3,납부 변경 요금 카드 방법
408,1,변경 데이터 사용 요금제
409,0,신청 화면 고장 핸드폰
410,2,인터넷 주소 연결 오늘 내일 아침 오전
411,4,부가 서비스 문의 가입 스트리밍 음악
412,1,요금 변경 데이터 지금 제로 요금제
413,1,가입 신청 인터넷 도로 언제 가장
414,1,무제한 데이터 정말 요금제
415,2,인터넷
416,4,가입 요금 휴대폰 제로
417,4,요금 조회 문자
418,4,청구 문의 확인 요금 데이터 용량
419,4,부가 서비스 해지 보안
420,1,변경 데이터 확인 요금제
421,2,해지 통신사 변경 다른
422,2,해지 통신사 변경 다른
423,4,요금 할인 납부 미납 내야 얼마
424,1,요금 변경 사용 추천 얼마 지금 요금제
425,4,부가 서비스 문의 가입 데이터 보충
426,1,개통 최신 모델 핸드폰
427,1,요금제
428,2,인터넷 설치 그때
429,3,요금 납부 이체 카드 변경 계좌 방법 지금
430,1,데이터 요금제
431,1,무제한 변경 데이터 요금제
432,3,청구 금액 관련 어쩌
433,1,가입 주소 인터넷 동의 가장
434,1,요금 변경 데이터 제공 제로 요금제
435,4,요금 확인 데이터 비교 얼마나 런가 용량 지난달
436,4,요금 문자
437,2,휴대폰 해지 만료 계약
438,1,변경 데이터 사용 요금제
439,1,변경 가격 데이터 사용 요금제
440,3,휴대폰 분실
441,2,할인 결합 인터넷 신청 얼마나 핸드폰 말씀 주소
442,1,자동 안내 어서 요금제
443,4,서비스 가입 클라우드 동의 용량 얼마나
444,1,변경 데이터 요금제
445,4,요금 뭔가 문자
446,1,데이터 요금제
447,1,변경 데이터 확인 요금제
448,1,혜택 상품 결합 가입
449,2,인터넷 해결
450,3,상품 결합 이용 가입 인터넷 문의 휴대폰 중이
451,4,납부 확인 요금
452,1,설명 문의 현재 요금제
453,3,납부 변경 이체 자동 요금 계좌 방법
454,1,변경 데이터 사용 추천 동의 보통 정도 요금제
455,3,문의 관련 어쩌 요금
456,1,변경 데이터 요금제
457,4,요금 할인 납부 미납 내야 얼마
458,4,서비스 가입 스트리밍 가격 음악
459,0,고장 방문 언제 터치 태블릿
460,2,휴대폰 해지 문의
461,2,인터넷 그때
462,1,변경 그것 요금제
463,0,해지 통신사 다른 직영 절차 얼마 가야
464,4,요금 조회 역도
465,4,서비스 가입 클라우드 동의 용량 얼마나
466,1,아이폰 휴대폰 변경 최신 가격
467,1,데이터 요금제
468,2,인터넷 문제
469,4,요금 조회 얼마
470,3,전화번호 핸드폰 어디가 액정 서류
471,3,요금 납부 이체 카드 변경 다른 계좌 방법
472,2,환불 해지 언제
473,1,요금제
474,1,변경 가장 요금제
475,3,핸드폰 분실 신고 가입 카페
476,3,핸드폰 분실 신고
477,1,무제한 변경 데이터 사용 보통 하루 정도 요금제
478,4,서비스 패키지 신청 인기 요금 채널 얼마
479,1,가입 요금 데이터 제로 무제한 요금제
480,4,요금 얼마
481,4,부가 서비스 문의 클라우드
482,3,휴대폰 분실
483,0,고장 방문 전원 언제 노트북
484,4,부가 서비스 문의 클라우드 사용
485,1,가입 주소 인터넷 동의 가장
486,1,다른 설명 계속 얼마나 요금제
487,4,요금 확인 데이터 비교 얼마나 런가 용량 지난달
488,1,변경 가장 요금제
489,1,요금제
490,4,부가 서비스 문의 가입 스트리밍 음악
491,1,요금제
492,1,인터넷 가입 상품 가장
493,1,변경 데이터 사용 요금제
494,4,납부 이체 적용 자동 계좌 언제
495,2,해지 서비스 마음
496,1,변경 데이터 확인 요금제
497,1,데이터 얼마 요금제
498,3,납부 변경 적용 요금 카드 계좌 방법 신한은행 언제
499,1,변경 데이터 사용 내용 추천 요금제
500,0,휴대폰
501,4,납부 확인 요금
502,0,스피커 신청 작동 휴대폰 고장
503,1,변경 가격 데이터 사용 요금제
504,4,요금 조회 데이터 초과 얼마나 뭔가
505,2,안내 신청 처리 제품 문제 연락 언제 젠장 진짜 건가
506,4,요금 조회 얼마 문자
507,1,변경 데이터 동의 비용 얼마나 요금제
508,1,요금제
509,1,변경 데이터 가장 요금제
510,1,제발 요금제
511,2,할인 상품 결합 가입 인터넷 얼마나 휴대폰
512,4,요금 변경 조회 데이터 얼마나 요금제
513,1,개통 신규 휴대폰
514,4,부가 서비스 해지 스트리밍 음악
515,1,요금 무제한 변경 지금 제로 요금제
516,1,사용 요금제
517,3,납부 이체 적용 요금 카드 계좌 방법 신한은행 언제
518,4,요금 납부 카드 조회 문자
519,1,어서 얘기 처리 요금제
520,2,해지 서비스 변경 회사 다른
521,2,인터넷
522,0,인터넷 속도 방문 수리 가끔
523,1,변경 데이터 동의 비용 얼마나 요금제
524,1,부탁
525,1,혜택 상품 결합 가입
526,4,요금 이번 얼마
527,0,멤버십 적립 포인트
528,4,요금 변경 자꾸 초과 요금제
529,4,부가 서비스 문의 가입 데이터 보충
530,3,핸드폰 분실 신고 버스
531,1,무제한 변경 데이터 요금제
532,3,휴대폰 고장 가입 액정
533,1,개통 최신 모델 핸드폰
534,1,할부 얼마 기간 이자 대한 요금제
535,1,해지 다른 빌어먹을 계속 진짜
536,4,청구 얼마
537,3,통화 품질
538,1,인터넷 가입 상품 가장
539,2,인터넷 주소 이면 시간대 자꾸 아무 내일 오전
540,1,변경 데이터 사용 요금제
541,2,해지 통신사 변경 다른
542,4,부가 서비스 문의 보안
543,4,요금 할인 상세 역도 이번 얼마 얼마나
544,4,부가 서비스 해지 반영 데이터 저장 언제
545,1,가입 상품 인터넷 속도 가장
546,4,서비스 가입 클라우드 동의 용량 얼마나
547,1,요금 변경 사용 시간 제일 현재 제로 요금제 중인
548,4,조회 상세 얼마 요금
549,1,내용 추천 보통 요금제
550,1,다른 설명 비교 문의 요금제
551,1,요금제
552,3,요금 납부 이체 카드 변경 계좌 방법 지금
553,2,인터넷
554,1,가입 채널 상품 얼마
555,4,조회 요금 이번
556,2,인터넷 설치
557,4,해지 통신 품질
558,4,요금 얼마
559,0,신청 휴대폰 직영 충전
560,3,납부 변경 이체 자동 요금 방법
561,4,부가 서비스 해지 클라우드
562,1,비교 보고 요금제
563,4,요금 할인 상세 역도 이번 얼마 얼마나
564,4,데이터 요금 구매 추가 얼마
565,0,신청
566,0,수리 신청 휴대폰 고장 모델 택배
567,1,요금 데이터 설명 제로 요금제
568,3,인터넷 장애 / 고장
569,3,핸드폰 분실
570,1,변경 데이터 사용 추천 동의 보통 정도 요금제
571,3,청구 금액 관련 어쩌
572,1,가입 채널 상품 얼마
573,2,해지 통신사 다른 휴대폰
574,0,비용 확인 얼마 무상 기간
575,4,위약금 해지 확인 얼마
576,4,납부 이체 적용 자동 가입 계좌 문의 언제
577,2,해지 서비스 변경 회사 다른
578,1,변경 요금제
579,0,휴대폰 고장
580,0,화면 휴대폰 고장 택배
581,4,요금 할인 상세 역도 이번 얼마 얼마나
582,4,요금 조회
583,2,해지
584,0,휴대폰 화면 번호 수리
585,4,요금 할인 자동 납부 방법 얼마나 결합 제일
586,3,납부 변경 요금 카드 방법
587,2,상품 결합 문의
588,4,조회 요금 이번
589,4,요금 변경 제로 요금제
590,2,인터넷
591,0,신청 휴대폰 고장 충전
592,1,청구 이메일
593,1,무제한 변경 데이터 요금제
594,4,요금 변경 데이터 사용 추가 걱정 위로 지금 단계 요금제
595,2,해지 이사 가게 인터넷
596,3,청구 금액 어쩌
597,3,요금 납부 이체 카드 변경 계좌 방법
598,2,인터넷
599,4,요금 조회 이번 예상
600,2,번호 이동 사용 정보 그대로 얼마나
601,2,해지 회사 인터넷 다른
602,4,요금 변경 데이터 확인 지금 제로 요금제
603,2,환불 해지 언제
604,1,요금 변경 데이터 제공 제로 요금제
605,4,요금 상세 조회
606,0,화면 휴대폰 고장 택배
607,4,요금 할인 상세 역도 이번 얼마 얼마나
608,0,카메라 신청 작동 휴대폰 고장
609,1,변경 그것 요금제
610,0,신청 화면 고장 핸드폰 언제
611,1,해지 다른 빌어먹을 계속 진짜
612,0,신청 핸드폰
613,1,가입 상품
614,1,요금제
615,4,부가 서비스 문의 가입 스트리밍 음악
616,1,인터넷 가입 및 변경
617,3,핸드폰 분실 신고 가입 지하철
618,2,그때
619,2,결합 가입 인터넷 신청 핸드폰 말씀 주소
620,2,인터넷 주소 해결 언제
621,0,고장 방문 충전 언제 스마트워치
622,1,요금 변경 다른 데이터 사용 추가 걱정 지금 요금제
623,4,부가 서비스 해지
624,1,변경 가격 데이터 사용 요금제
625,0,접수 신청 고장 핸드폰 언제
626,4,요금 확인
627,3,납부 변경 카드 계좌 방법
628,4,해지 서비스 비밀번호 싫증 별로 너희
629,1,사용 요금제
630,3,납부 이체 적용 요금 카드 계좌 방법 신한은행 언제
631,2,환불 해지 언제
632,0,접수 신청 고장 핸드폰 언제
633,4,요금 변경 추천 제로
634,4,요금 조회
635,4,데이터 요금 구매 추가 얼마
636,3,휴대폰 분실
637,3,핸드폰 분실 신고
638,3,요금 납부 이체 카드 변경 다른 계좌 방법
639,1,데이터 요금제
640,1,변경 데이터 동의 비용 얼마나 요금제
641,2,인터넷
642,4,요금 변경 조회 데이터 얼마나 요금제
643,4,와이파이
644,3,요금 자동 이체 신한은행
645,3,해지 변경 요금 동의 데이터 남아 여러
646,2,해지 처리
647,4,부가 서비스 해지 스트리밍 음악 동의
648,0,신청 화면 고장 핸드폰 언제
649,2,인터넷 신청
650,2,인터넷 설치 오늘 언제
651,3,납부 변경 요금 카드 방법
652,4,부가 서비스 문의 가입 데이터 보충
653,4,데이터 요금 구매 추가 얼마
654,4,부가 서비스 문의 신청 가격 데이터 보충
655,3,인터넷 장애 / 고장
656,0,신청 화면 고장
657,2,할인 상품 결합 인터넷 확인 얼마나 핸드폰 어서
658,3,전화번호 핸드폰 고장 어디 전원 서류 가야
659,4,부가 서비스 문의 이용 데이터 저장
660,4,부가 서비스 문의 보안
661,2,인터넷 속도
662,4,요금 할인 상세 역도 이번 얼마 얼마나
663,4,부가 서비스 문의 신청 가격 데이터 보충
664,4,청구 문의 상세 관련 요금
665,4,요금 상세 데이터
666,2,해지 회사 인터넷 다른
667,4,요금 무제한 변경 데이터 약정 제로 요금제
668,1,변경 사용 요금제
669,4,부가 서비스 해지 클라우드
670,3,인터넷 장애 / 고장
671,0,신청 화면 고장 터치
672,2,인터넷
673,4,부가 서비스 해지 스트리밍 뭔가 음악
674,4,부가 서비스 가입 스트리밍 가격 음악
675,3,상품 결합 이용 가입 인터넷 문의 휴대폰 중이
676,4,요금 얼마
677,4,부가 서비스 신청 데이터 보충
678,0,신청 고장 확인 핸드폰
679,2,해지 이사 가게 인터넷
680,4,부가 서비스 신청 가격 관련 데이터 종류 뭔가 보충 방법
681,4,요금 조회
682,1,요금 변경 데이터 제공 제로 요금제
683,2,인식 카드 다시 핸드폰 문의
684,1,변경 요금제 지금
685,4,요금 조회 이번 예상
686,0,신청 화면 휴대폰 택배
687,4,부가 서비스 가입 클라우드
688,2,할인 상품 결합 가입 인터넷 문의 얼마나 핸드폰 절차
689,1,가입 신규 상품 주소 인터넷 개월
690,4,납부 확인 요금
691,0,멤버십 포인트 사용 어디 처가
692,1,데이터 요금제
693,0,신청 화면 휴대폰 고장 먹통
694,4,부가 서비스 해지 스트리밍 음악
695,4,요금 납부 조회 얼마
696,2,해지 다른 처리
697,2,해지 통신사 변경 다른
698,0,로밍 해외 사용 신청 일본
699,4,청구 문의 요금
700,2,해지 이상 휴대폰 사용
701,4,요금 조회
702,2,해지 이사 가게 인터넷
703,1,변경 데이터 확인 요금제
704,4,해지 통신 품질
705,2,할인 결합 인터넷 신청 얼마나 핸드폰 말씀 주소
706,4,로밍 해외 사용 비용 신청 얼마 방법 일본
707,1,내용 추천 보통 요금제
708,2,해지 다른 휴대폰
709,4,가입 요금 휴대폰 제로
